"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,
"St. Vincent and the Grenadines","364","Intensive Margin","within_theil","Value","3.49317646026611","3.20665717124939","3.90136671066284","4.3754358291626",
"St. Vincent and the Grenadines","364","Export Diversification Index","total_theil","Value","3.5028198","3.2167003","3.9094477","4.3835168",
"Bahrain, Kingdom of","419","Extensive Margin","between_theil","Value","1.05906798973187","0.920486271381378","-0.0230884806252334","-0.0313519239425659",
"Bahrain, Kingdom of","419","Intensive Margin","within_theil","Value","3.4668172226302","3.11015582084656","2.87489506497514","2.8723963201046",
"Bahrain, Kingdom of","419","Export Diversification Index","total_theil","Value","4.5258851","4.030642","2.8518066","2.8410444",
"Bahamas, The","313","Extensive Margin","between_theil","Value","0.818614650986916","0.552508979964393","0.114921532422592","0.365472100675106",
"Bahamas, The","313","Intensive Margin","within_theil","Value","3.31356765070814","3.4096737761359","4.21889960765839","3.77859139442444",
"Bahamas, The","313","Export Diversification Index","total_theil","Value","4.1321821","3.9621828","4.3338213","4.1440635",
"Bosnia and Herzegovina","963","Extensive Margin","between_theil","Value","0.0919426832618271","0.0886040475326481","0.0848196553558864","0.0816440805792809",
"Bosnia and Herzegovina","963","Intensive Margin","within_theil","Value","2.05434946750756","2.01216501942417","2.05237428167311","2.06068992614746",
"Bosnia and Herzegovina","963","Export Diversification Index","total_theil","Value","2.1462922","2.100769","2.1371939","2.142334",
"Belarus","913","Extensive Margin","between_theil","Value","0.0920489622614067","0.106049939910889","0.0764472111844631","0.0730009078979492",
"Belarus","913","Intensive Margin","within_theil","Value","4.41880917068193","2.91138801733905","2.52123737710512","2.5940158367157",
"Belarus","913","Export Diversification Index","total_theil","Value","4.5108581","3.0174379","2.5976846","2.6670167",
"Belgium-Luxembourg","126","Extensive Margin","between_theil","Value","0","0","0","0",
"Belgium-Luxembourg","126","Intensive Margin","within_theil","Value","0","0","0","0",
"Belgium-Luxembourg","126","Export Diversification Index","total_theil","Value","0","0","0","0",
"Belize","339","Extensive Margin","between_theil","Value","0.116003748093903","0.116931259598232","0.111479690597136","0.111602298915386",
"Belize","339","Intensive Margin","within_theil","Value","3.00056308849889","3.58030432497617","3.50236761748238","3.43652153015137",
"Belize","339","Export Diversification Index","total_theil","Value","3.1165669","3.6972356","3.6138473","3.5481238",
"Montserrat","351","Export Diversification Index","total_theil","Value","3.2771876","3.4912655","3.5069706","3.7089961",
"Mauritius","684","Extensive Margin","between_theil","Value","0.0714451941922754","0.0575645108656317","0.0638967566628708","0.0724601271504071",
"Mauritius","684","Intensive Margin","within_theil","Value","3.33219311768335","3.37130643986165","3.4006363786757","3.29760495852679",
"Mauritius","684","Export Diversification Index","total_theil","Value","3.4036384","3.4288709","3.4645331","3.370065",
"Malawi","676","Extensive Margin","between_theil","Value","0.107978535477809","0.10446475421812","0.102647013823739","0.0991575866937637",
"Saudi Arabia","456","Intensive Margin","within_theil","Value","3.51268854737282","3.56624528765678","3.58182591199875","3.55094620585442",
"Saudi Arabia","456","Export Diversification Index","total_theil","Value","5.2039976","5.3214097","5.2703838","5.3057327",
"Sudan","732","Extensive Margin","between_theil","Value","0.0895185465924442","0","0","0",
"Sudan","732","Intensive Margin","within_theil","Value","5.72062136232853","0","0","0",
"Israel","436","Extensive Margin","between_theil","Value","0.405005907173209","0.413063236977905","0.411174604669213","0.399023756850511",
"Israel","436","Intensive Margin","within_theil","Value","2.33527978217617","2.29141373187303","2.30680017918348","2.25295941531658",
"Israel","436","Export Diversification Index","total_theil","Value","2.7402856","2.7044771","2.7179749","2.6519833",
"Italy","136","Extensive Margin","between_theil","Value","0.0479791654852306","0.0472043892141301","0.0481162457335813","0.047715580939439",
"Italy","136","Intensive Margin","within_theil","Value","1.5163070790004","1.54657648946159","1.53669617837295","1.52858521346934",
"Italy","136","Export Diversification Index","total_theil","Value","1.5642862","1.5937809","1.5848124","1.5763007",
"Jamaica","343","Extensive Margin","between_theil","Value","1.12313487633638","1.1017016269562","1.12046399422968","1.14676066022366",
"Jamaica","343","Intensive Margin","within_theil","Value","2.96867364810169","2.91043493743928","3.07377958860525","3.09493346512318",
"Jamaica","343","Export Diversification Index","total_theil","Value","4.0918083","4.0121365","4.1942434","4.241694",
"Jordan","439","Extensive Margin","between_theil","Value","-0.0205023288726807","-0.0229834100847111","-0.0365152472805418","-0.0410775430500507",
"Jordan","439","Intensive Margin","within_theil","Value","2.34191030263901","2.32117211818541","2.2364333124483","2.3951618373394",
"Jordan","439","Export Diversification Index","total_theil","Value","2.321408","2.2981887","2.199918","2.3540843",
"Japan","158","Extensive Margin","between_theil","Value","0.0845847630255321","0.0843287150173637","0.0845466139246582","0.084550346628248",
"Japan","158","Intensive Margin","within_theil","Value","2.01651559199672","2.02886845299508","2.04600119625684","2.03402188851032",
