"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2014","937.69","941.69","941.69","932.21","","-0.58%"
"03/13/2014","943.19","945.58","951.07","941.36","","-0.15%"
"03/12/2014","944.63","954.37","954.37","942.61","","-1.18%"
"03/11/2014","955.89","954.82","957.65","953.53","","0.09%"
"03/10/2014","955.02","964.89","964.94","953.81","","-1.21%"
"03/07/2014","966.72","969.73","973.30","965.38","","-0.37%"
"03/06/2014","970.27","960.52","971.39","959.69","","1.16%"
"03/05/2014","959.18","958.62","961.85","958.22","","0.31%"
"03/04/2014","956.19","948.93","956.98","947.61","","0.58%"
"03/03/2014","950.68","965.79","965.82","949.35","","-1.63%"
"02/28/2014","966.42","964.50","967.83","963.16","","0.33%"
"02/27/2014","963.23","955.31","964.89","954.23","","0.73%"
"02/26/2014","956.26","954.80","959.93","953.74","","0.08%"
"02/25/2014","955.54","958.94","962.57","955.02","","-0.30%"
"02/24/2014","958.42","959.30","959.61","953.02","","-0.09%"
"02/21/2014","959.26","950.08","960.40","950.08","","0.91%"
"02/20/2014","950.62","956.93","956.93","947.36","","-0.88%"
"02/19/2014","959.09","959.36","959.73","955.77","","0.02%"
"02/18/2014","958.87","964.41","964.49","958.87","","-0.56%"
"02/17/2014","964.29","958.96","965.85","958.96","","0.73%"
"02/14/2014","957.31","948.02","958.34","948.01","","1.21%"
"02/13/2014","945.83","952.53","953.58","942.75","","-0.78%"
"02/12/2014","953.30","947.09","954.93","946.15","","0.91%"
"02/11/2014","944.75","934.99","946.16","934.78","","0.99%"
"02/10/2014","935.50","938.32","941.16","934.58","","-0.19%"
"02/07/2014","937.30","931.24","939.38","930.49","","0.81%"
"02/06/2014","929.80","918.41","930.27","918.39","","1.44%"
"02/05/2014","916.56","921.30","921.57","915.49","","-0.13%"
